battery_id,image_path,source_type,source_area,previous_application,health_id,image_source_url,image_license,health_source
DXB-REAL-BAT-001,data/images/cylindrical/recybat24_cylindrical_001_7_5_2_cyl.jpg,e-bike fleet,Business Bay,delivery mobility,B0005-D001,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-002,data/images/cylindrical/recybat24_cylindrical_002_4_4_1_cyl.jpg,EV service center,Dubai Marina,EV service module,B0005-D008,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-003,data/images/cylindrical/recybat24_cylindrical_003_2_3_2_cyl.jpg,solar storage,Jebel Ali,residential solar storage,B0005-D015,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-004,data/images/cylindrical/recybat24_cylindrical_004_8_5_3_cyl.jpg,smart building backup,Al Quoz,UPS backup module,B0005-D022,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-005,data/images/cylindrical/recybat24_cylindrical_005_9_2_1_cyl.jpg,micro-mobility operator,Dubai Silicon Oasis,shared scooter pack,B0005-D030,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-006,data/images/cylindrical/recybat24_cylindrical_006_9_2_2_cyl.jpg,e-bike fleet,Downtown Dubai,commercial energy storage,B0005-D037,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-007,data/images/cylindrical/recybat24_cylindrical_007_6_2_3_cyl.jpg,EV service center,Deira,delivery mobility,B0005-D044,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-008,data/images/cylindrical/recybat24_cylindrical_008_9_1_3_cyl.jpg,solar storage,Business Bay,EV service module,B0005-D051,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-009,data/images/cylindrical/recybat24_cylindrical_009_1_2_1_cyl.jpg,smart building backup,Dubai Marina,residential solar storage,B0005-D058,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-010,data/images/cylindrical/recybat24_cylindrical_010_4_5_2_cyl.jpg,micro-mobility operator,Jebel Ali,UPS backup module,B0005-D065,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-011,data/images/cylindrical/recybat24_cylindrical_011_15_3_3_cyl.jpg,e-bike fleet,Al Quoz,shared scooter pack,B0005-D072,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-012,data/images/cylindrical/recybat24_cylindrical_012_9_4_1_cyl.jpg,EV service center,Dubai Silicon Oasis,commercial energy storage,B0005-D079,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-013,data/images/cylindrical/recybat24_cylindrical_013_10_4_3_cyl.jpg,solar storage,Downtown Dubai,delivery mobility,B0005-D087,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-014,data/images/cylindrical/recybat24_cylindrical_014_12_1_1_cyl.jpg,smart building backup,Deira,EV service module,B0005-D094,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-015,data/images/cylindrical/recybat24_cylindrical_015_6_1_1_cyl.jpg,micro-mobility operator,Business Bay,residential solar storage,B0005-D101,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-016,data/images/cylindrical/recybat24_cylindrical_016_2_5_1_cyl.jpg,e-bike fleet,Dubai Marina,UPS backup module,B0005-D108,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-017,data/images/cylindrical/recybat24_cylindrical_017_6_5_1_cyl.jpg,EV service center,Jebel Ali,shared scooter pack,B0005-D115,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-018,data/images/cylindrical/recybat24_cylindrical_018_3_4_1_cyl.jpg,solar storage,Al Quoz,commercial energy storage,B0005-D122,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-019,data/images/cylindrical/recybat24_cylindrical_019_1_1_3_cyl.jpg,smart building backup,Dubai Silicon Oasis,delivery mobility,B0005-D129,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-020,data/images/cylindrical/recybat24_cylindrical_020_5_5_2_cyl.jpg,micro-mobility operator,Downtown Dubai,EV service module,B0005-D137,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-021,data/images/cylindrical/recybat24_cylindrical_021_11_2_3_cyl.jpg,e-bike fleet,Deira,residential solar storage,B0005-D144,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-022,data/images/cylindrical/recybat24_cylindrical_022_5_2_3_cyl.jpg,EV service center,Business Bay,UPS backup module,B0005-D151,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-023,data/images/cylindrical/recybat24_cylindrical_023_14_5_2_cyl.jpg,solar storage,Dubai Marina,shared scooter pack,B0005-D158,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-024,data/images/cylindrical/recybat24_cylindrical_024_14_3_1_cyl.jpg,smart building backup,Jebel Ali,commercial energy storage,B0005-D165,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-025,data/images/cylindrical/recybat24_cylindrical_025_8_4_2_cyl.jpg,micro-mobility operator,Al Quoz,delivery mobility,B0006-D004,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-026,data/images/cylindrical/recybat24_cylindrical_026_8_3_3_cyl.jpg,e-bike fleet,Dubai Silicon Oasis,EV service module,B0006-D011,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-027,data/images/cylindrical/recybat24_cylindrical_027_11_2_2_cyl.jpg,EV service center,Downtown Dubai,residential solar storage,B0006-D019,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-028,data/images/cylindrical/recybat24_cylindrical_028_10_4_2_cyl.jpg,solar storage,Deira,UPS backup module,B0006-D026,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-029,data/images/cylindrical/recybat24_cylindrical_029_5_4_2_cyl.jpg,smart building backup,Business Bay,shared scooter pack,B0006-D033,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-030,data/images/cylindrical/recybat24_cylindrical_030_11_4_1_cyl.jpg,micro-mobility operator,Dubai Marina,commercial energy storage,B0006-D040,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-031,data/images/pouch/recybat24_pouch_001_4_2_F_3_po.jpg,e-bike fleet,Jebel Ali,delivery mobility,B0006-D047,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-032,data/images/pouch/recybat24_pouch_002_3_4_F_1_po.jpg,EV service center,Al Quoz,EV service module,B0006-D054,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-033,data/images/pouch/recybat24_pouch_003_54_4_F_2_po.jpg,solar storage,Dubai Silicon Oasis,residential solar storage,B0006-D061,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-034,data/images/pouch/recybat24_pouch_004_38_4_F_3_po.jpg,smart building backup,Downtown Dubai,UPS backup module,B0006-D068,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-035,data/images/pouch/recybat24_pouch_005_21_5_F_1_po.jpg,micro-mobility operator,Deira,shared scooter pack,B0006-D076,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-036,data/images/pouch/recybat24_pouch_006_40_2_F_2_po.jpg,e-bike fleet,Business Bay,commercial energy storage,B0006-D083,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-037,data/images/pouch/recybat24_pouch_007_31_3_F_2_po.jpg,EV service center,Dubai Marina,delivery mobility,B0006-D090,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-038,data/images/pouch/recybat24_pouch_008_20_2_F_1_po.jpg,solar storage,Jebel Ali,EV service module,B0006-D097,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-039,data/images/pouch/recybat24_pouch_009_58_1_F_1_po.jpg,smart building backup,Al Quoz,residential solar storage,B0006-D104,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-040,data/images/pouch/recybat24_pouch_010_13_3_F_1_po.jpg,micro-mobility operator,Dubai Silicon Oasis,UPS backup module,B0006-D111,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-041,data/images/pouch/recybat24_pouch_011_16_2_F_2_po.jpg,e-bike fleet,Downtown Dubai,shared scooter pack,B0006-D118,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-042,data/images/pouch/recybat24_pouch_012_6_3_F_3_po.jpg,EV service center,Deira,commercial energy storage,B0006-D126,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-043,data/images/pouch/recybat24_pouch_013_36_3_F_3_po.jpg,solar storage,Business Bay,delivery mobility,B0006-D133,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-044,data/images/pouch/recybat24_pouch_014_5_1_F_3_po.jpg,smart building backup,Dubai Marina,EV service module,B0006-D140,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-045,data/images/pouch/recybat24_pouch_015_1_5_F_1_po.jpg,micro-mobility operator,Jebel Ali,residential solar storage,B0006-D147,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-046,data/images/pouch/recybat24_pouch_016_35_5_F_2_po.jpg,e-bike fleet,Al Quoz,UPS backup module,B0006-D154,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-047,data/images/pouch/recybat24_pouch_017_24_4_F_3_po.jpg,EV service center,Dubai Silicon Oasis,shared scooter pack,B0006-D161,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-048,data/images/pouch/recybat24_pouch_018_57_2_F_2_po.jpg,solar storage,Downtown Dubai,commercial energy storage,B0006-D168,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-049,data/images/pouch/recybat24_pouch_019_52_1_F_2_po.jpg,smart building backup,Deira,delivery mobility,B0007-D007,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-050,data/images/pouch/recybat24_pouch_020_14_5_F_1_po.jpg,micro-mobility operator,Business Bay,EV service module,B0007-D015,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-051,data/images/pouch/recybat24_pouch_021_2_4_F_1_po.jpg,e-bike fleet,Dubai Marina,residential solar storage,B0007-D022,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-052,data/images/pouch/recybat24_pouch_022_20_5_F_2_po.jpg,EV service center,Jebel Ali,UPS backup module,B0007-D029,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-053,data/images/pouch/recybat24_pouch_023_20_1_F_2_po.jpg,solar storage,Al Quoz,shared scooter pack,B0007-D036,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-054,data/images/pouch/recybat24_pouch_024_4_5_F_2_po.jpg,smart building backup,Dubai Silicon Oasis,commercial energy storage,B0007-D043,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-055,data/images/pouch/recybat24_pouch_025_20_4_F_1_po.jpg,micro-mobility operator,Downtown Dubai,delivery mobility,B0007-D050,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-056,data/images/pouch/recybat24_pouch_026_50_5_F_3_po.jpg,e-bike fleet,Deira,EV service module,B0007-D057,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-057,data/images/pouch/recybat24_pouch_027_41_3_F_3_po.jpg,EV service center,Business Bay,residential solar storage,B0007-D065,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-058,data/images/pouch/recybat24_pouch_028_6_1_F_2_po.jpg,solar storage,Dubai Marina,UPS backup module,B0007-D072,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-059,data/images/pouch/recybat24_pouch_029_41_4_F_2_po.jpg,smart building backup,Jebel Ali,shared scooter pack,B0007-D079,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-060,data/images/pouch/recybat24_pouch_030_38_4_F_2_po.jpg,micro-mobility operator,Al Quoz,commercial energy storage,B0007-D086,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-061,data/images/prismatic/recybat24_prismatic_001_2_4_F_2_pri.jpg,e-bike fleet,Dubai Silicon Oasis,delivery mobility,B0007-D093,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
