health_id,battery_source_id,cycle_count,rated_capacity_ah,measured_capacity_ah,voltage,temperature_c,internal_resistance_mohm,soh,source_file,source_url
B0005-D001,B0005,1,1.85649,1.85649,3.52983,32.57233,114.12497,1.0,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D002,B0005,2,1.85649,1.84633,3.53732,32.72524,114.12497,0.99453,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D003,B0005,3,1.85649,1.83535,3.54374,32.64286,114.12497,0.98861,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D004,B0005,4,1.85649,1.83526,3.54367,32.51488,114.12497,0.98857,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D005,B0005,5,1.85649,1.83465,3.54234,32.38235,114.12497,0.98823,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D006,B0005,6,1.85649,1.83566,3.54133,32.43418,114.12497,0.98878,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D007,B0005,7,1.85649,1.83515,3.54103,32.48042,114.12497,0.9885,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D008,B0005,8,1.85649,1.82576,3.55413,32.41046,114.12497,0.98345,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D009,B0005,9,1.85649,1.82477,3.55294,32.34614,114.12497,0.98292,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D010,B0005,10,1.85649,1.82461,3.55121,32.2768,114.12497,0.98283,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D011,B0005,11,1.85649,1.82462,3.54929,32.15709,114.12497,0.98283,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D012,B0005,12,1.85649,1.8142,3.55976,32.36407,114.12497,0.97722,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D013,B0005,13,1.85649,1.81375,3.55808,32.3182,114.12497,0.97698,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D014,B0005,14,1.85649,1.81344,3.55569,32.15709,114.12497,0.97681,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D015,B0005,15,1.85649,1.8026,3.56275,32.04407,114.12497,0.97097,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D016,B0005,16,1.85649,1.80211,3.56145,31.93159,114.12497,0.97071,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D017,B0005,17,1.85649,1.80258,3.56034,31.94166,114.12497,0.97096,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D018,B0005,18,1.85649,1.80307,3.55912,31.96501,114.12497,0.97123,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D019,B0005,19,1.85649,1.80278,3.55789,31.96624,114.12497,0.97107,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D020,B0005,20,1.85649,1.84703,3.55204,32.37143,114.12497,0.9949,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D021,B0005,21,1.85649,1.84742,3.55257,32.70025,112.81549,0.99511,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D022,B0005,22,1.85649,1.83618,3.55679,32.32266,113.62948,0.98906,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D023,B0005,23,1.85649,1.82578,3.56141,31.98796,112.21657,0.98346,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D024,B0005,24,1.85649,1.82511,3.55661,31.89446,112.23684,0.9831,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D025,B0005,25,1.85649,1.82558,3.55867,31.7804,112.98033,0.98335,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D026,B0005,26,1.85649,1.81403,3.5641,31.68875,112.24116,0.97713,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D027,B0005,27,1.85649,1.81477,3.55959,31.59675,113.4092,0.97753,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
